episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,3.199931965590482,0.6828695645440177,0.1019975080847324,30.0,0.3333333333333333,6,0.0,False,True,0.7916718143912892,1,17.709159380834848,220.407,prepare,0.0
40,2.0,3.1997327938476237,0.6831032114197831,0.18326595495146542,-30.0,1.0,2,1.0,False,True,0.7905513581379284,1,17.709159380834848,220.48,in_progress,0.0
40,3.0,3.208271373295746,0.6821132604622832,-0.0440469416723114,30.0,0.6666666666666666,7,1.0,False,True,0.8387488424982452,1,17.709159380834848,220.553,in_progress,0.0
40,4.0,3.23012766686026,0.6756030912371047,-1.6828172858672026,0.0,1.0,5,1.0,False,True,0.9621200084397791,1,17.709159380834848,220.613,in_progress,0.0
40,5.0,3.261875791506135,0.66776617968768,-3.3620554945624654,30.0,0.6666666666666666,7,1.0,False,True,1.1413271958843263,1,17.709159380834848,220.678,in_progress,0.0
40,6.0,3.3062023796098776,0.6597345208657412,-4.6302530834927405,30.0,0.6666666666666666,7,1.0,False,True,1.3915606258221216,2,17.709159380834848,220.749,in_progress,0.0
40,7.0,3.3515421744409477,0.6541239209260877,-5.109863417150922,0.0,1.0,5,1.0,False,True,1.647536355444133,2,17.709159380834848,220.81,in_progress,0.0
40,8.0,3.398537172883005,0.6500136232675902,-5.075973235469918,30.0,0.6666666666666666,7,1.0,False,True,1.9131125363240482,2,17.709159380834848,220.876,in_progress,0.0
40,9.0,3.4562561629621773,0.6489569658137665,-4.183228918091724,0.0,0.6666666666666666,4,1.0,False,True,2.2390383416728312,3,17.709159380834848,220.949,in_progress,0.0
40,10.0,3.508739328881478,0.6500882801284176,-3.0177202533863774,30.0,0.6666666666666666,7,1.0,False,True,2.535401652450106,3,17.709159380834848,221.008,in_progress,0.0
40,11.0,3.559334433244477,0.6538199554533959,-1.4975490449355497,0.0,0.6666666666666666,4,1.0,False,True,2.8210834415162256,3,17.709159380834848,221.083,in_progress,0.0
40,12.0,3.608053241144779,0.6594837895633552,0.1300942068799754,-30.0,1.0,2,1.0,False,True,3.09620121377586,4,17.709159380834848,221.151,in_progress,0.0
40,13.0,3.6581119271019378,0.6635693491437368,1.0263567131875624,-30.0,1.0,2,1.0,False,True,3.378881476931963,4,17.709159380834848,221.216,in_progress,0.0
40,14.0,3.7226066942594738,0.6651182043175187,1.0568826440842785,-30.0,0.3333333333333333,0,1.0,False,True,3.743075934352749,4,17.709159380834848,221.276,in_progress,0.0
40,15.0,3.7802878636447437,0.659553032758308,-0.4543851857341474,-30.0,0.6666666666666666,1,1.0,False,True,4.0687779300500635,5,17.709159380834848,221.345,in_progress,0.0
40,16.0,3.830718082435789,0.6520853717458251,-2.1270713994917805,0.0,0.6666666666666666,4,1.0,False,True,4.3535358719354065,5,17.709159380834848,221.41,in_progress,0.0
40,17.0,3.885970721752573,0.6412941638330842,-4.149229974563939,0.0,1.0,5,1.0,False,True,4.665515006758357,6,17.709159380834848,221.48,in_progress,0.0
40,18.0,3.9335016379722703,0.6327730026877848,-5.365481564345324,0.0,0.3333333333333333,3,1.0,False,True,4.933895612585794,6,17.709159380834848,221.55,in_progress,0.0
40,19.0,3.982170132688993,0.6227020372718323,-6.6683673607514615,30.0,1.0,8,1.0,False,True,5.2086969841449156,6,17.709159380834848,221.608,in_progress,0.0
40,20.0,4.033552974890382,0.6141559360905537,-7.315233566210825,30.0,1.0,8,1.0,False,True,5.4988285969549935,7,17.709159380834848,221.683,in_progress,0.0
40,21.0,4.087160814117055,0.6079971988211832,-7.2042585997654935,0.0,1.0,5,1.0,False,True,5.801528996013762,7,17.709159380834848,221.743,in_progress,0.0
40,22.0,4.156579039758274,0.6046654675105719,-6.027489297355148,0.0,1.0,5,0.5,False,True,6.193510157017909,7,17.709159380834848,221.817,in_progress,0.0
40,23.0,4.222282603957197,0.6018162872273958,-5.130414665110034,0.0,1.0,5,0.5,False,True,6.56451902790146,8,17.709159380834848,221.882,in_progress,0.0
40,24.0,4.291555355619834,0.5980999030501445,-4.588223155981135,30.0,1.0,8,0.5,False,True,6.955677800433098,8,17.709159380834848,221.936,in_progress,0.0
40,25.0,4.361058081017149,0.5992483634651872,-3.0834556256662333,-30.0,0.3333333333333333,0,0.5,False,True,7.348147778191215,9,17.709159380834848,222.021,in_progress,0.0
40,26.0,4.420076566172011,0.6021462970400231,-1.7171391970389045,-30.0,0.6666666666666666,1,0.5,False,True,7.681420786033506,9,17.709159380834848,222.077,in_progress,0.0
40,27.0,4.482156688857519,0.5996431822057133,-1.888647027195934,30.0,0.3333333333333333,6,0.5,False,True,8.031969489574973,9,17.709159380834848,222.146,in_progress,0.0
40,28.0,4.529136073644841,0.5975607361739486,-1.998439744442576,-30.0,0.3333333333333333,0,0.5,False,True,8.29724826571374,10,17.709159380834848,222.227,in_progress,0.0
40,29.0,4.5806192764691875,0.5961537957510534,-1.9026335683023379,30.0,1.0,8,0.5,False,True,8.58795462651379,10,17.709159380834848,222.282,in_progress,0.0
40,30.0,4.620124730771963,0.5951075121006988,-1.8713975625699097,30.0,0.6666666666666666,7,0.5,False,True,8.811031658109442,10,17.709159380834848,222.348,in_progress,0.0
40,31.0,4.670446081835468,0.597086873569726,-0.9923576749848423,30.0,0.6666666666666666,7,0.5,False,True,9.095190121572845,11,17.709159380834848,222.408,in_progress,0.0
40,32.0,4.718053951796449,0.6044872843977634,0.925122936322111,30.0,0.6666666666666666,7,0.5,False,True,9.364029696189311,11,17.709159380834848,222.481,in_progress,0.0
40,33.0,4.762477000861795,0.6135492489418107,2.8719091488090607,-30.0,1.0,2,1.0,False,True,9.614897231357503,11,17.709159380834848,222.548,in_progress,0.0
40,34.0,4.820470489645171,0.6239017439066207,4.514904174652986,-30.0,1.0,2,1.0,False,True,9.942397060862945,12,17.709159380834848,222.614,in_progress,0.0
40,35.0,4.873911375359972,0.6293185067117121,4.757026528012489,-30.0,1.0,2,1.0,False,True,10.244177264580358,12,17.709159380834848,222.685,in_progress,0.0
40,36.0,4.9437269031438165,0.6340232999476954,4.492237374399978,-30.0,0.6666666666666666,1,1.0,False,True,10.63842156754662,13,17.709159380834848,222.751,in_progress,0.0
40,37.0,5.00468505915995,0.6324213461548469,3.0633688400438253,0.0,0.3333333333333333,3,1.0,False,True,10.982636259942536,13,17.709159380834848,222.813,in_progress,0.0
40,38.0,5.062416323713997,0.6276496990535868,1.2675033517554009,30.0,1.0,8,1.0,False,True,11.308634012997649,13,17.709159380834848,222.876,in_progress,0.0
40,39.0,5.1199064976759034,0.626244931892549,0.6938844162945043,30.0,1.0,8,1.0,False,True,11.633266448770842,14,17.709159380834848,222.945,in_progress,0.0
40,40.0,5.187732632976561,0.631813251590384,1.7639008217490164,0.0,1.0,5,1.0,False,True,12.016292654423333,14,17.709159380834848,223.02,in_progress,0.0
40,41.0,5.253506043052616,0.6391599000822391,2.900535897484214,-30.0,0.6666666666666666,1,1.0,False,True,12.387714155656619,15,17.709159380834848,223.08,in_progress,0.0
40,42.0,5.31972585583464,0.6432208296793306,3.0670362343710007,0.0,1.0,5,1.0,False,True,12.761616955311176,15,17.709159380834848,223.152,in_progress,0.0
40,43.0,5.385076790476347,0.6450309817222608,2.7221356691872325,0.0,1.0,5,1.0,False,True,13.130644863238109,16,17.709159380834848,223.21,in_progress,0.0
40,44.0,5.450976906625662,0.6501004535829394,3.1417349213879584,0.0,1.0,5,1.0,False,True,13.502782145660877,16,17.709159380834848,223.28,in_progress,0.0
40,45.0,5.518912467439493,0.6529112826376184,2.9335531263826726,-30.0,1.0,2,1.0,False,True,13.886228037807486,16,17.709159380834848,223.34,in_progress,0.0
40,46.0,5.595607129827851,0.6540591833446107,2.281995661047336,0.0,1.0,5,1.0,False,True,14.31931613650972,17,17.709159380834848,223.42,in_progress,0.0
40,47.0,5.654406234424626,0.6527930104355655,1.4462083195175357,30.0,0.3333333333333333,6,1.0,False,True,14.65165076608316,17,17.709159380834848,223.479,in_progress,0.0
40,48.0,5.770550318047375,0.6552415499930538,1.3333535661969196,0.0,0.6666666666666666,4,1.0,False,True,15.308191979224109,18,17.709159380834848,223.577,in_progress,0.0
40,49.0,5.775535852161041,0.6554960530458079,1.3653111927343617,0.0,1.0,5,1.0,False,True,15.336337328984545,18,17.709159380834848,223.614,in_progress,0.0
40,50.0,5.8080009613190064,0.6545983760472068,0.9227659950870247,-30.0,0.6666666666666666,1,1.0,False,True,15.519682624710954,18,17.709159380834848,223.682,in_progress,0.0
40,51.0,5.859244616919437,0.654909837309312,0.8067766219962712,0.0,1.0,5,1.0,False,True,15.809033847757181,19,17.709159380834848,223.744,in_progress,0.0
40,52.0,5.91585949956111,0.6527798787634805,0.0628427448013162,0.0,0.3333333333333333,3,1.0,False,True,16.129428962902324,19,17.709159380834848,223.812,in_progress,0.0
40,53.0,5.969127470894176,0.6490793663513635,-0.8656164200435318,0.0,0.3333333333333333,3,1.0,False,True,16.430386595447498,19,17.709159380834848,223.873,in_progress,0.0
40,54.0,6.01887782032781,0.6447950466956389,-1.6967798356313377,30.0,0.3333333333333333,6,1.0,False,True,16.71150921280998,20,17.709159380834848,223.942,in_progress,0.0
40,55.0,6.055117270231995,0.6438567889721699,-1.631536930476099,0.0,1.0,5,1.0,False,True,16.91531874449305,20,17.709159380834848,224.008,in_progress,0.0
40,56.0,6.097117948628506,0.6407986453107533,-2.13147473474291,0.0,0.6666666666666666,4,1.0,False,True,17.14545862799152,20,17.709159380834848,224.081,in_progress,0.0
40,57.0,6.14413404688953,0.6386490244862045,-2.2288005117527514,-30.0,0.3333333333333333,0,1.0,False,True,17.41055171400593,21,17.709159380834848,224.147,in_progress,0.0
40,58.0,6.18448698499192,0.6356775760142889,-2.5324590015228226,-30.0,1.0,2,1.0,False,True,17.637912934585277,21,17.709159380834848,224.206,in_progress,0.0
40,59.0,6.22633377445936,0.628926490731749,-3.6935324113030426,30.0,0.3333333333333333,6,1.0,False,True,17.854376593536724,21,17.709159380834848,224.273,in_progress,0.0
40,60.0,6.26858892246854,0.6224000960146961,-4.559704286964601,0.0,0.6666666666666666,4,1.0,False,True,18.08912714478455,21,17.709159380834848,224.347,in_progress,0.0
40,61.0,6.31096782957813,0.6151947706550236,-5.431380874469723,30.0,0.3333333333333333,6,0.5,False,True,18.324257742401745,22,17.709159380834848,224.414,in_progress,0.0
40,62.0,6.35126070184174,0.6098727921176267,-5.877754510237472,-30.0,1.0,2,0.5,False,True,18.54852683806029,22,17.709159380834848,224.486,in_progress,0.0
40,63.0,6.39883505154723,0.6029493329003234,-6.410894788295039,0.0,0.6666666666666666,4,0.5,False,True,18.783016858482515,22,17.709159380834848,224.539,in_progress,0.0
40,64.0,6.452532809556823,0.5921393232204559,-7.523927554070178,0.0,1.0,5,0.5,False,True,19.07517725200471,23,17.709159380834848,224.603,in_progress,0.0
40,65.0,6.6078119813807294,0.5581608468421314,-10.129846860800898,30.0,1.0,8,0.5,False,True,19.712725324331114,23,17.709159380834848,224.738,in_progress,0.0
40,66.0,6.613650518191109,0.556968538585902,-10.159090476750663,0.0,0.3333333333333333,3,0.1,False,True,19.741611223449684,23,17.709159380834848,224.746,in_progress,0.0
40,67.0,6.6316062352921135,0.5532732875380797,-10.238117414587196,-30.0,0.6666666666666666,1,0.1,False,True,19.83039318600023,23,17.709159380834848,224.803,in_progress,0.0
40,68.0,6.695817170469454,0.5376892283971839,-11.122362633277262,0.0,0.3333333333333333,3,0.1,False,True,20.143457730898266,24,17.709159380834848,224.884,in_progress,0.0
40,69.0,6.746060715533393,0.5215358885551619,-12.537379908723123,-30.0,1.0,2,0.1,False,True,20.296722032172454,24,17.709159380834848,224.949,in_progress,0.0
40,70.0,6.7900899674287745,0.5034030925868064,-14.469724240130752,-30.0,1.0,2,0.1,False,True,20.296722032172454,24,17.709159380834848,225.01,in_progress,0.0
40,71.0,6.841642521519614,0.4774404248070758,-17.307396783700657,30.0,0.6666666666666666,7,0.1,False,True,20.474844032256076,24,17.709159380834848,225.076,in_progress,0.0
40,72.0,6.889819707304931,0.4502056806441168,-19.987250100794164,-30.0,0.3333333333333333,0,0.001,False,False,20.63782085984962,24,17.709159380834848,225.146,in_progress,0.0
40,73.0,6.940248134264497,0.4213274981778899,-22.304122156674687,0.0,0.3333333333333333,3,0.001,False,False,20.807395447395375,25,17.709159380834848,225.204,in_progress,0.0
40,74.0,6.979472036734364,0.3955747384600072,-24.38679407059593,-30.0,1.0,2,0.001,False,False,20.930259001580914,25,17.709159380834848,225.284,in_progress,0.0
40,75.0,7.0166781048004685,0.36678276454149883,-26.934612106701273,0.0,1.0,5,0.001,False,False,21.034822368495064,25,17.709159380834848,225.351,in_progress,0.0
40,76.0,7.057925696707175,0.3341393009110905,-29.36794229358022,0.0,0.6666666666666666,4,0.001,False,False,21.144167722643626,25,17.709159380834848,225.415,in_progress,0.0
40,77.0,7.09973475829098,0.3008797642628182,-31.323878259874093,-30.0,0.3333333333333333,0,0.001,True,False,21.144167722643626,25,17.709159380834848,225.478,off_track,0.0
41,1.0,4.085337068529175,0.6835570678443204,0.020078404779171038,-30.0,0.3333333333333333,0,0.0,False,True,0.7913789268022199,7,17.709159380834848,225.609,prepare,0.0
41,2.0,4.085190493550231,0.683613237488097,0.01993050474265615,0.0,1.0,5,1.0,False,True,0.7905513581378705,7,17.709159380834848,225.677,in_progress,0.0
41,3.0,4.0916506923771925,0.6821500392360699,-0.3362839258721278,0.0,0.3333333333333333,3,1.0,False,True,0.8270279062601484,7,17.709159380834848,225.752,in_progress,0.0
41,4.0,4.1092726772009645,0.6773217829594865,-1.5135252697544475,0.0,0.3333333333333333,3,1.0,False,True,0.9265259472276979,7,17.709159380834848,225.813,in_progress,0.0
41,5.0,4.1322294306596605,0.6728370568990519,-2.4534010249940077,0.0,1.0,5,1.0,False,True,1.0561490714458581,7,17.709159380834848,225.884,in_progress,0.0
41,6.0,4.164981858548104,0.6653291770451486,-3.9500315338453444,0.0,0.6666666666666666,4,1.0,False,True,1.241080323174938,7,17.709159380834848,225.946,in_progress,0.0
41,7.0,4.20393702972311,0.6563566400987362,-5.446334030896086,30.0,1.0,8,1.0,False,True,1.4610342695397196,8,17.709159380834848,226.011,in_progress,0.0
41,8.0,4.253517765876484,0.6483894878719224,-6.249750991871928,30.0,1.0,8,1.0,False,True,1.7409906119242744,8,17.709159380834848,226.081,in_progress,0.0
41,9.0,4.317504072332227,0.6421620171554318,-6.115299405174844,30.0,0.6666666666666666,7,1.0,False,True,2.102294356002357,8,17.709159380834848,226.15,in_progress,0.0
41,10.0,4.375428976775137,0.6423831444262084,-4.660868919115127,-30.0,0.3333333333333333,0,1.0,False,True,2.429384868703682,9,17.709159380834848,226.217,in_progress,0.0
41,11.0,4.432079691420751,0.6421208813174988,-3.695186478199014,-30.0,1.0,2,1.0,False,True,2.749280246501584,9,17.709159380834848,226.283,in_progress,0.0
41,12.0,4.489054054656587,0.6391350052268224,-3.5585698122688307,30.0,1.0,8,1.0,False,True,3.070996803391357,10,17.709159380834848,226.351,in_progress,0.0
41,13.0,4.555263930197287,0.6340000262212064,-3.7885572586294627,0.0,0.6666666666666666,4,1.0,False,True,3.4448600899555566,10,17.709159380834848,226.416,in_progress,0.0
41,14.0,4.615128727889869,0.6322943622722335,-3.2417916012343833,-30.0,1.0,2,1.0,False,True,3.7828974354765563,10,17.709159380834848,226.477,in_progress,0.0
41,15.0,4.6700102558509125,0.6285837841472213,-3.419996739560386,0.0,1.0,5,1.0,False,True,4.09279447367932,11,17.709159380834848,226.552,in_progress,0.0
41,16.0,4.733780328674645,0.6227278109858378,-3.9135316479219426,0.0,0.6666666666666666,4,1.0,False,True,4.452872943606212,11,17.709159380834848,226.615,in_progress,0.0
